State,Sex,age_group,deaths,pop_state,population
Indiana,Male,05-14 years,0,464282,21520591
Indiana,Male,15-24 years,10,476804,21603341
Indiana,Male,25-34 years,20,446483,22791780
Indiana,Male,35-44 years,61,426605,21420401
Indiana,Male,45-54 years,162,415612,20492996
Indiana,Male,55-64 years,561,434301,21075426
Indiana,Male,65-74 years,1137,312011,15361155
Indiana,Male,75-84 years,1592,135740,6989539
Indiana,Male,85 years and over,1451,3406849,165470228
Iowa,Female,0-.99 years,0,18038,1809703
Iowa,Female,01-04 years,0,76525,7620035
Iowa,Female,05-14 years,0,205018,20518881
Iowa,Female,15-24 years,4,216350,20981911
Iowa,Female,25-34 years,11,192689,22449525
Iowa,Female,35-44 years,10,193496,21276445
Iowa,Female,45-54 years,43,178274,20563411
Iowa,Female,55-64 years,132,209033,21973114
Iowa,Female,65-74 years,319,165974,17208126
Iowa,Female,75-84 years,602,88606,8832725
Iowa,Female,85 years and over,1168,1640681,171003046
Iowa,Male,0-.99 years,0,18951,1893263
Iowa,Male,01-04 years,0,79758,7968874
Iowa,Male,05-14 years,0,215626,21520591
Iowa,Male,15-24 years,0,228263,21603341
Iowa,Male,25-34 years,20,203039,22791780
Iowa,Male,35-44 years,30,204349,21420401
Iowa,Male,45-54 years,83,185905,20492996
Iowa,Male,55-64 years,253,208688,21075426
Iowa,Male,65-74 years,474,158126,15361155
Iowa,Male,75-84 years,739,70899,6989539
Iowa,Male,85 years and over,893,1622938,165470228
Kansas,Female,0-.99 years,0,17102,1809703
Kansas,Female,01-04 years,0,72261,7620035
Kansas,Female,05-14 years,0,197990,20518881
Kansas,Female,15-24 years,3,199734,20981911
Kansas,Female,25-34 years,9,182741,22449525
Kansas,Female,35-44 years,15,181957,21276445
Kansas,Female,45-54 years,47,162427,20563411
Kansas,Female,55-64 years,106,187766,21973114
Kansas,Female,65-74 years,264,145492,17208126
Kansas,Female,75-84 years,417,74899,8832725
Kansas,Female,85 years and over,759,1498715,171003046
Kansas,Male,0-.99 years,0,18059,1893263
Kansas,Male,01-04 years,0,76264,7968874
Kansas,Male,05-14 years,0,207646,21520591
Kansas,Male,15-24 years,4,210957,21603341
Kansas,Male,25-34 years,13,189199,22791780
Kansas,Male,35-44 years,27,186282,21420401
Kansas,Male,45-54 years,80,167011,20492996
Kansas,Male,55-64 years,203,183442,21075426
Kansas,Male,65-74 years,367,136377,15361155
Kansas,Male,75-84 years,613,59734,6989539
Kansas,Male,85 years and over,581,1477067,165470228
Kentucky,Female,0-.99 years,0,25505,1809703
Kentucky,Female,01-04 years,0,106777,7620035
Kentucky,Female,05-14 years,0,281031,20518881
Kentucky,Female,15-24 years,0,283729,20981911
Kentucky,Female,25-34 years,14,287728,22449525
Kentucky,Female,35-44 years,16,279424,21276445
Kentucky,Female,45-54 years,65,281574,20563411
Kentucky,Female,55-64 years,206,309311,21973114
Kentucky,Female,65-74 years,420,243613,17208126
Kentucky,Female,75-84 years,654,122064,8832725
Kentucky,Female,85 years and over,995,2318760,171003046
Kentucky,Male,0-.99 years,0,26865,1893263
Kentucky,Male,01-04 years,0,112365,7968874
Kentucky,Male,05-14 years,0,297006,21520591
Kentucky,Male,15-24 years,0,295198,21603341
Kentucky,Male,25-34 years,19,294196,22791780
Kentucky,Male,35-44 years,33,280522,21420401
Kentucky,Male,45-54 years,83,282946,20492996
Kentucky,Male,55-64 years,266,294456,21075426
Kentucky,Male,65-74 years,601,218324,15361155
Kentucky,Male,75-84 years,683,94646,6989539
Kentucky,Male,85 years and over,584,2247704,165470228
Louisiana,Female,0-.99 years,0,27747,1809703
Louisiana,Female,01-04 years,0,117890,7620035
Louisiana,Female,05-14 years,0,305160,20518881
Louisiana,Female,15-24 years,6,298085,20981911
Louisiana,Female,25-34 years,22,320381,22449525
Louisiana,Female,35-44 years,63,304749,21276445
Louisiana,Female,45-54 years,140,275256,20563411
Louisiana,Female,55-64 years,425,311379,21973114
Louisiana,Female,65-74 years,675,241183,17208126
Louisiana,Female,75-84 years,971,119732,8832725
Louisiana,Female,85 years and over,980,2417454,171003046
Louisiana,Male,0-.99 years,0,29018,1893263
Louisiana,Male,01-04 years,0,122576,7968874
Louisiana,Male,05-14 years,0,317914,21520591
Louisiana,Male,15-24 years,10,301111,21603341
Louisiana,Male,25-34 years,25,312801,22791780
Louisiana,Male,35-44 years,82,297302,21420401
Louisiana,Male,45-54 years,228,266657,20492996
Louisiana,Male,55-64 years,546,290726,21075426
Louisiana,Male,65-74 years,1025,212145,15361155
Louisiana,Male,75-84 years,1111,90709,6989539
Louisiana,Male,85 years and over,752,2292637,165470228
Maine,Female,0-.99 years,0,5954,1809703
Maine,Female,01-04 years,0,25047,7620035
Maine,Female,05-14 years,0,69839,20518881
Maine,Female,15-24 years,0,74626,20981911
Maine,Female,25-34 years,0,81484,22449525
Maine,Female,35-44 years,3,80579,21276445
Maine,Female,45-54 years,9,87937,20563411
Maine,Female,55-64 years,25,109779,21973114
Maine,Female,65-74 years,26,91226,17208126
Maine,Female,75-84 years,78,45091,8832725
Maine,Female,85 years and over,124,712076,171003046
Maine,Male,0-.99 years,0,6375,1893263
Maine,Male,01-04 years,0,26299,7968874
Maine,Male,05-14 years,0,73674,21520591
Maine,Male,15-24 years,0,78759,21603341
Maine,Male,25-34 years,2,82049,22791780
Maine,Male,35-44 years,5,79679,21420401
Maine,Male,45-54 years,14,86127,20492996
Maine,Male,55-64 years,20,104805,21075426
Maine,Male,65-74 years,47,85356,15361155
Maine,Male,75-84 years,82,37507,6989539
Maine,Male,85 years and over,68,683060,165470228
Maryland,Female,0-.99 years,0,34805,1809703
Maryland,Female,01-04 years,0,145233,7620035
Maryland,Female,05-14 years,0,382633,20518881
Maryland,Female,15-24 years,6,373780,20981911
Maryland,Female,25-34 years,13,415533,22449525
Maryland,Female,35-44 years,42,414363,21276445
Maryland,Female,45-54 years,110,411502,20563411
Maryland,Female,55-64 years,280,435733,21973114
Maryland,Female,65-74 years,595,316213,17208126
Maryland,Female,75-84 years,879,159786,8832725
Maryland,Female,85 years and over,1333,3233173,171003046
Maryland,Male,0-.99 years,0,36007,1893263
Maryland,Male,01-04 years,0,150907,7968874
Maryland,Male,05-14 years,0,401382,21520591
Maryland,Male,15-24 years,7,377200,21603341
Maryland,Male,25-34 years,38,403327,22791780
Maryland,Male,35-44 years,86,395175,21420401
Maryland,Male,45-54 years,215,386501,20492996
Maryland,Male,55-64 years,489,404315,21075426
Maryland,Male,65-74 years,754,268364,15361155
Maryland,Male,75-84 years,1001,119477,6989539
Maryland,Male,85 years and over,877,3018383,165470228
Massachusetts,Female,0-.99 years,0,33921,1809703
Massachusetts,Female,01-04 years,0,140159,7620035
Massachusetts,Female,05-14 years,0,379662,20518881
Massachusetts,Female,15-24 years,9,458999,20981911
Massachusetts,Female,25-34 years,10,496939,22449525
Massachusetts,Female,35-44 years,20,446337,21276445
Massachusetts,Female,45-54 years,82,458070,20563411
Massachusetts,Female,55-64 years,247,498493,21973114
Massachusetts,Female,65-74 years,630,375554,17208126
Massachusetts,Female,75-84 years,1312,192593,8832725
Massachusetts,Female,85 years and over,3003,3671423,171003046
Massachusetts,Male,0-.99 years,0,35639,1893263
Massachusetts,Male,01-04 years,0,147056,7968874
Massachusetts,Male,05-14 years,0,398221,21520591
Massachusetts,Male,15-24 years,10,459661,21603341
Massachusetts,Male,25-34 years,19,499824,22791780
Massachusetts,Male,35-44 years,44,439144,21420401
Massachusetts,Male,45-54 years,130,440581,20492996
Massachusetts,Male,55-64 years,459,474397,21075426
Massachusetts,Male,65-74 years,966,329985,15361155
Massachusetts,Male,75-84 years,1460,144845,6989539
Massachusetts,Male,85 years and over,1830,3466165,165470228
Michigan,Female,0-.99 years,0,52728,1809703
Michigan,Female,01-04 years,0,221675,7620035
Michigan,Female,05-14 years,0,597464,20518881
Michigan,Female,15-24 years,10,651468,20981911
Michigan,Female,25-34 years,27,644516,22449525
Michigan,Female,35-44 years,55,596167,21276445
Michigan,Female,45-54 years,181,626604,20563411
Michigan,Female,55-64 years,504,716233,21973114
Michigan,Female,65-74 years,1098,565168,17208126
Michigan,Female,75-84 years,1517,281341,8832725
Michigan,Female,85 years and over,2306,5201112,171003046
Michigan,Male,0-.99 years,0,55303,1893263
Michigan,Male,01-04 years,0,232133,7968874
Michigan,Male,05-14 years,0,629649,21520591
Michigan,Male,15-24 years,14,678733,21603341
Michigan,Male,25-34 years,41,667814,22791780
Michigan,Male,35-44 years,98,601354,21420401
Michigan,Male,45-54 years,337,624195,20492996
Michigan,Male,55-64 years,834,695426,21075426
Michigan,Male,65-74 years,1708,514197,15361155
Michigan,Male,75-84 years,2004,225209,6989539
Michigan,Male,85 years and over,1616,5058455,165470228
Minnesota,Female,0-.99 years,0,32612,1809703
Minnesota,Female,01-04 years,0,137150,7620035
Minnesota,Female,05-14 years,0,368153,20518881
Minnesota,Female,15-24 years,5,357707,20981911
Minnesota,Female,25-34 years,16,369435,22449525
Minnesota,Female,35-44 years,19,368512,21276445
Minnesota,Female,45-54 years,48,330663,20563411
Minnesota,Female,55-64 years,134,381055,21973114
Minnesota,Female,65-74 years,378,283769,17208126
Minnesota,Female,75-84 years,690,144839,8832725
Minnesota,Female,85 years and over,1537,2920597,171003046
Minnesota,Male,0-.99 years,0,34016,1893263
Minnesota,Male,01-04 years,0,143553,7968874
Minnesota,Male,05-14 years,0,385901,21520591
Minnesota,Male,15-24 years,6,369146,21603341
Minnesota,Male,25-34 years,11,386626,22791780
Minnesota,Male,35-44 years,29,386366,21420401
Minnesota,Male,45-54 years,100,344173,20492996
Minnesota,Male,55-64 years,267,383477,21075426
Minnesota,Male,65-74 years,559,269806,15361155
Minnesota,Male,75-84 years,925,119246,6989539
Minnesota,Male,85 years and over,1123,2902964,165470228
Mississippi,Female,0-.99 years,0,17112,1809703
Mississippi,Female,01-04 years,0,71383,7620035
Mississippi,Female,05-14 years,0,194750,20518881
Mississippi,Female,15-24 years,4,199306,20981911
Mississippi,Female,25-34 years,26,192119,22449525
Mississippi,Female,35-44 years,58,187982,21276445
Mississippi,Female,45-54 years,145,183773,20563411
Mississippi,Female,55-64 years,353,199424,21973114
Mississippi,Female,65-74 years,530,157979,17208126
Mississippi,Female,75-84 years,645,81329,8832725
Mississippi,Female,85 years and over,739,1550999,171003046
Mississippi,Male,0-.99 years,0,17750,1893263
Mississippi,Male,01-04 years,0,73505,7968874
Mississippi,Male,05-14 years,0,202422,21520591
Mississippi,Male,15-24 years,6,201153,21603341
Mississippi,Male,25-34 years,22,183821,22791780
Mississippi,Male,35-44 years,65,176594,21420401
Mississippi,Male,45-54 years,155,173527,20492996
Mississippi,Male,55-64 years,383,184562,21075426
Mississippi,Male,65-74 years,732,137379,15361155
Mississippi,Male,75-84 years,800,60394,6989539
Mississippi,Male,85 years and over,495,1443237,165470228
Missouri,Female,0-.99 years,0,34683,1809703
Missouri,Female,01-04 years,0,143830,7620035
Missouri,Female,05-14 years,0,382979,20518881
Missouri,Female,15-24 years,7,390470,20981911
Missouri,Female,25-34 years,12,405023,22449525
Missouri,Female,35-44 years,33,384823,21276445
Missouri,Female,45-54 years,76,365086,20563411
Missouri,Female,55-64 years,310,423644,21973114
Missouri,Female,65-74 years,704,330523,17208126
Missouri,Female,75-84 years,1000,173004,8832725
Missouri,Female,85 years and over,1730,3190535,171003046
Missouri,Male,0-.99 years,0,36368,1893263
Missouri,Male,01-04 years,0,151431,7968874
Missouri,Male,05-14 years,0,403100,21520591
Missouri,Male,15-24 years,9,402190,21603341
Missouri,Male,25-34 years,14,403955,22791780
Missouri,Male,35-44 years,52,385675,21420401
Missouri,Male,45-54 years,147,362736,20492996
Missouri,Male,55-64 years,479,407007,21075426
Missouri,Male,65-74 years,963,294582,15361155
Missouri,Male,75-84 years,1324,136146,6989539
Missouri,Male,85 years and over,1204,3067686,165470228
Montana,Female,0-.99 years,0,5587,1809703
Montana,Female,01-04 years,0,23693,7620035
Montana,Female,05-14 years,0,64869,20518881
Montana,Female,15-24 years,0,65249,20981911
Montana,Female,25-34 years,3,67408,22449525
Montana,Female,35-44 years,12,65747,21276445
Montana,Female,45-54 years,16,58272,20563411
Montana,Female,55-64 years,56,76025,21973114
Montana,Female,65-74 years,98,65103,17208126
Montana,Female,75-84 years,148,30428,8832725
Montana,Female,85 years and over,225,548329,171003046
Montana,Male,0-.99 years,0,5804,1893263
Montana,Male,01-04 years,0,24938,7968874
Montana,Male,05-14 years,0,69069,21520591
Montana,Male,15-24 years,0,71164,21603341
Montana,Male,25-34 years,6,70760,22791780
Montana,Male,35-44 years,12,69663,21420401
Montana,Male,45-54 years,33,60998,20492996
Montana,Male,55-64 years,80,74371,21075426
Montana,Male,65-74 years,174,64852,15361155
Montana,Male,75-84 years,221,28418,6989539
